"Name","Company","City","State","Url","Terms"
"Staff Software Engineer - Embedded C++","Altran","Burlington","MA","https://job-openings.monster.com/Staff-Software-Engineer-Embedded-C-Burlington-MA-US-Altran/11/186490239","{'develop', 'scienc', 'comput', 'travel', 'design', 'team', 'test', 'softwar', 'excel', 'c', 'oper'}"
"Software Engineer","Math Works","Dorchester","MA","https://job-openings.monster.com/Software-Engineer-Dorchester-MA-US-Math-Works/11/195132504","{'qualiti', 'develop', 'design', 'interfac', 'softwar', 'cloud', 'test', 'system', 'data', 'scienc', 'signal', 'team', 'mobil', 'applic', 'android', 'comput', 'web', 'visual', 'devic', 'bs', 'process', 'ui', 'autom', 'matlab', 'ms', 'io'}"
"Computer Architectures Software Developer","Booz Allen Hamilton","Lexington","MA","https://job-openings.monster.com/Computer-Architectures-Software-Developer-Lexington-MA-US-Booz-Allen-Hamilton/22/93ab0cb1-4f6f-43a6-9295-34635515058d","{'analysi', 'develop', 'comput', 'design', 'languag', 'oper', 'applic', 'hardwar', 'secur', 'softwar', 'debug', 'test', 'c', 'system'}"
